invoice_id,employee_id,customer_id,payment_method,transaction_moment,status
20221020113719,29,42,1,"2022-10-20 11:37:19",3
20221021115347,27,90,2,"2022-10-21 11:53:47",2
20221022113941,30,99,3,"2022-10-22 11:39:41",2
20221023084709,30,55,3,"2022-10-23 08:47:09",4
20221024131046,28,36,2,"2022-10-24 13:10:46",2
20221026091220,29,67,2,"2022-10-26 09:12:20",2
20221027111157,46,60,2,"2022-10-27 11:11:57",2
20221028141533,22,79,3,"2022-10-28 14:15:33",4
20221029132027,27,23,2,"2022-10-29 13:20:27",4
20221030103637,37,76,1,"2022-10-30 10:36:37",1
20221031104020,39,70,3,"2022-10-31 10:40:20",3
20221101153719,43,55,2,"2022-11-01 15:37:19",3
20221102111635,24,15,3,"2022-11-02 11:16:35",2
20221103082018,40,40,1,"2022-11-03 08:20:18",3
20221104115909,24,12,2,"2022-11-04 11:59:09",4
20221105080227,20,90,2,"2022-11-05 08:02:27",4
20221106145123,27,43,3,"2022-11-06 14:51:23",2
20221107081502,28,52,3,"2022-11-07 08:15:02",3
20221108085357,34,17,2,"2022-11-08 08:53:57",1
20221109102344,44,73,1,"2022-11-09 10:23:44",4
20221110101127,30,NULL,1,"2022-11-10 10:11:27",3
20221111090355,40,11,2,"2022-11-11 09:03:55",3
20221112093242,34,20,2,"2022-11-12 09:32:42",3
20221113092817,45,61,1,"2022-11-13 09:28:17",3
20221114092513,31,51,2,"2022-11-14 09:25:13",3
20221115143633,42,36,2,"2022-11-15 14:36:33",2
20221116092459,30,5,2,"2022-11-16 09:24:59",1
20221117082845,39,43,1,"2022-11-17 08:28:45",4
20221118093805,22,43,3,"2022-11-18 09:38:05",4
20221119140200,41,30,3,"2022-11-19 14:02:00",1
20221120123719,45,90,1,"2022-11-20 12:37:19",3
20221121114007,45,55,2,"2022-11-21 11:40:07",1
20221122084227,33,22,3,"2022-11-22 08:42:27",4
20221123080527,29,92,1,"2022-11-23 08:05:27",2
20221124080423,45,30,1,"2022-11-24 08:04:23",2
20221125134853,33,91,2,"2022-11-25 13:48:53",3
20221126081608,21,15,1,"2022-11-26 08:16:08",1
20221127090845,36,40,2,"2022-11-27 09:08:45",2
20221128112837,34,NULL,3,"2022-11-28 11:28:37",4
20221129082457,20,68,3,"2022-11-29 08:24:57",4
20221130135643,31,70,2,"2022-11-30 13:56:43",1
20221201095932,45,78,1,"2022-12-01 09:59:32",2
20221202105037,25,14,1,"2022-12-02 10:50:37",3
20221203121755,26,8,3,"2022-12-03 12:17:55",2
20221204110626,42,7,2,"2022-12-04 11:06:26",3
20221205121237,24,43,2,"2022-12-05 12:12:37",1
20221206114818,43,NULL,1,"2022-12-06 11:48:18",4
20221207085637,28,92,3,"2022-12-07 08:56:37",4
20221208102938,25,87,2,"2022-12-08 10:29:38",4
20221209163708,44,55,3,"2022-12-09 16:37:08",1
20221211093930,32,100,1,"2022-12-11 09:39:30",3
20221212090437,42,64,3,"2022-12-12 09:04:37",1
20221213124544,21,59,3,"2022-12-13 12:45:44",3
20221216091652,38,85,2,"2022-12-16 09:16:52",4
20221217095904,33,65,1,"2022-12-17 09:59:04",2
20221218120730,25,70,1,"2022-12-18 12:07:30",4
20221219120810,43,87,1,"2022-12-19 12:08:10",3
20221220091814,45,50,3,"2022-12-20 09:18:14",1
20221221082948,28,23,2,"2022-12-21 08:29:48",3
20221222160400,34,21,2,"2022-12-22 16:04:00",2
20221223095737,23,84,1,"2022-12-23 09:57:37",4
20221224101939,46,26,3,"2022-12-24 10:19:39",2
20221225083835,32,95,3,"2022-12-25 08:38:35",2
20221226084017,42,NULL,2,"2022-12-26 08:40:17",3
20221227152900,42,68,1,"2022-12-27 15:29:00",2
20221228114228,37,35,2,"2022-12-28 11:42:28",2
20221229085643,40,42,2,"2022-12-29 08:56:43",3
20221230163731,35,27,3,"2022-12-30 16:37:31",2
20221231103940,23,29,3,"2022-12-31 10:39:40",2
20230101102853,20,78,2,"2023-01-01 10:28:53",3
20230102080948,44,86,1,"2023-01-02 08:09:48",4
20230103103555,30,NULL,1,"2023-01-03 10:35:55",4
20230104084729,33,86,2,"2023-01-04 08:47:29",4
20230105130740,36,51,1,"2023-01-05 13:07:40",1
20230106080232,24,88,2,"2023-01-06 08:02:32",4
20230107094704,26,62,3,"2023-01-07 09:47:04",1
20230108082225,27,29,2,"2023-01-08 08:22:25",2
20230109102730,44,21,3,"2023-01-09 10:27:30",1
20230110100054,28,67,1,"2023-01-10 10:00:54",3
20230111091748,20,21,1,"2023-01-11 09:17:48",3
20230112093456,29,95,1,"2023-01-12 09:34:56",3
20230113110653,36,NULL,2,"2023-01-13 11:06:53",3
20230114102800,41,73,3,"2023-01-14 10:28:00",2
20230115085946,39,53,1,"2023-01-15 08:59:46",4
20230116091324,35,8,3,"2023-01-16 09:13:24",4
20230117095246,33,31,1,"2023-01-17 09:52:46",2
20230120103303,36,91,2,"2023-01-20 10:33:03",3
20230121085140,35,83,1,"2023-01-21 08:51:40",2
20230122085029,42,24,1,"2023-01-22 08:50:29",2
20230124080430,32,87,1,"2023-01-24 08:04:30",3
20230125123428,21,36,1,"2023-01-25 12:34:28",3
20230126084739,44,17,3,"2023-01-26 08:47:39",4
20230127115130,21,53,2,"2023-01-27 11:51:30",4
20230128082400,32,1,2,"2023-01-28 08:24:00",1
20230129154928,25,99,3,"2023-01-29 15:49:28",3
20230131161140,31,99,1,"2023-01-31 16:11:40",2
20230201094338,25,19,2,"2023-02-01 09:43:38",2
20230202120247,31,73,2,"2023-02-02 12:02:47",2
20230203082836,44,82,1,"2023-02-03 08:28:36",1
20230204081831,21,45,3,"2023-02-04 08:18:31",2
20230205080833,30,52,3,"2023-02-05 08:08:33",1
20230206150923,31,90,2,"2023-02-06 15:09:23",4
20230207142655,35,64,2,"2023-02-07 14:26:55",3
20230208094200,40,58,2,"2023-02-08 09:42:00",1
20230211093131,33,41,2,"2023-02-11 09:31:31",2
20230212140457,46,4,3,"2023-02-12 14:04:57",2
20230213083301,43,91,3,"2023-02-13 08:33:01",1
20230215093002,20,64,3,"2023-02-15 09:30:02",1
20230216131850,32,NULL,2,"2023-02-16 13:18:50",1
20230217121250,44,72,3,"2023-02-17 12:12:50",4
20230218091837,29,3,2,"2023-02-18 09:18:37",3
20230219110144,30,93,2,"2023-02-19 11:01:44",4
20230221115150,36,19,2,"2023-02-21 11:51:50",4
20230222103047,32,21,3,"2023-02-22 10:30:47",3
20230223094246,39,66,3,"2023-02-23 09:42:46",3
20230225165417,31,28,2,"2023-02-25 16:54:17",2
20230226091819,36,61,2,"2023-02-26 09:18:19",1
20230227101742,21,19,3,"2023-02-27 10:17:42",3
20230228153809,28,NULL,3,"2023-02-28 15:38:09",4
20230301112636,30,70,1,"2023-03-01 11:26:36",3
20230303082405,37,6,2,"2023-03-03 08:24:05",2
20230304085525,36,48,2,"2023-03-04 08:55:25",3
20230305135650,24,52,1,"2023-03-05 13:56:50",3
20230306113208,30,20,3,"2023-03-06 11:32:08",3
20230307110043,40,18,2,"2023-03-07 11:00:43",3
20230308094818,38,10,2,"2023-03-08 09:48:18",2
20230310112732,34,83,3,"2023-03-10 11:27:32",4
20230311080909,25,83,1,"2023-03-11 08:09:09",1
20230312090442,22,50,3,"2023-03-12 09:04:42",1
20230313111207,42,29,1,"2023-03-13 11:12:07",1
20230314143737,20,2,2,"2023-03-14 14:37:37",1
20230315091032,29,74,2,"2023-03-15 09:10:32",4
20230316122131,32,85,1,"2023-03-16 12:21:31",4
20230318090750,43,100,2,"2023-03-18 09:07:50",1
20230319085143,45,20,3,"2023-03-19 08:51:43",2
20230320090914,46,43,2,"2023-03-20 09:09:14",4
20230321094839,41,100,1,"2023-03-21 09:48:39",1
20230322084916,38,32,1,"2023-03-22 08:49:16",2
20230323084347,26,63,3,"2023-03-23 08:43:47",1
20230324133653,23,44,2,"2023-03-24 13:36:53",2
20230325090519,40,19,2,"2023-03-25 09:05:19",1
20230326095155,43,73,2,"2023-03-26 09:51:55",1
20230327094802,37,27,1,"2023-03-27 09:48:02",3
20230328084434,35,71,3,"2023-03-28 08:44:34",1
20230329162535,33,78,2,"2023-03-29 16:25:35",2
20230330090712,38,90,2,"2023-03-30 09:07:12",3
20230331115304,24,52,3,"2023-03-31 11:53:04",3
20230401150704,44,15,1,"2023-04-01 15:07:04",3
20230402082820,46,15,2,"2023-04-02 08:28:20",1
20230403110024,20,17,2,"2023-04-03 11:00:24",4
20230404090307,34,67,2,"2023-04-04 09:03:07",4
20230405093058,26,66,3,"2023-04-05 09:30:58",1
20230406110600,45,36,3,"2023-04-06 11:06:00",3
20230407105619,34,46,1,"2023-04-07 10:56:19",3
20230408124714,36,55,1,"2023-04-08 12:47:14",2
20230409113133,38,25,3,"2023-04-09 11:31:33",1
20230410082807,27,80,1,"2023-04-10 08:28:07",4
20230411083933,25,21,3,"2023-04-11 08:39:33",2
20230412164105,40,41,1,"2023-04-12 16:41:05",3
20230413082152,43,2,3,"2023-04-13 08:21:52",2
20230414084442,31,18,3,"2023-04-14 08:44:42",3
20230415104310,20,34,3,"2023-04-15 10:43:10",2
20230416130721,23,72,1,"2023-04-16 13:07:21",4
20230417102936,23,84,1,"2023-04-17 10:29:36",4
20230418121036,31,21,2,"2023-04-18 12:10:36",3
20230419122942,35,68,1,"2023-04-19 12:29:42",4
20230420092126,25,24,1,"2023-04-20 09:21:26",4
20230421083926,33,76,2,"2023-04-21 08:39:26",3
20230422125427,43,80,2,"2023-04-22 12:54:27",3
20230423080107,42,50,3,"2023-04-23 08:01:07",2
20230424091510,31,85,3,"2023-04-24 09:15:10",4
20230425143519,44,12,1,"2023-04-25 14:35:19",1
20230426091737,29,58,1,"2023-04-26 09:17:37",2
20230427101411,44,45,3,"2023-04-27 10:14:11",1
20230428084649,32,39,2,"2023-04-28 08:46:49",2
20230429161938,26,14,2,"2023-04-29 16:19:38",2
20230430090559,38,5,2,"2023-04-30 09:05:59",3
20230501145515,33,94,1,"2023-05-01 14:55:15",3
20230502162642,43,19,1,"2023-05-02 16:26:42",2
20230503094044,39,43,2,"2023-05-03 09:40:44",4
20230504140551,25,88,1,"2023-05-04 14:05:51",1
20230505081757,21,30,1,"2023-05-05 08:17:57",4
20230507083734,38,91,3,"2023-05-07 08:37:34",2
20230508081239,41,21,2,"2023-05-08 08:12:39",3
20230510140617,34,64,3,"2023-05-10 14:06:17",2
20230511102613,37,84,2,"2023-05-11 10:26:13",4
20230512080653,27,20,1,"2023-05-12 08:06:53",4
20230513115948,20,28,3,"2023-05-13 11:59:48",3
20230514164300,26,78,1,"2023-05-14 16:43:00",1
20230515095721,23,34,3,"2023-05-15 09:57:21",1
20230517094409,22,49,3,"2023-05-17 09:44:09",2
20230518150804,35,29,1,"2023-05-18 15:08:04",3
20230519165526,45,13,1,"2023-05-19 16:55:26",3
20230520151216,45,87,1,"2023-05-20 15:12:16",4
20230521080645,24,36,2,"2023-05-21 08:06:45",1
20230522085836,44,85,2,"2023-05-22 08:58:36",3
20230523112156,29,5,3,"2023-05-23 11:21:56",2
20230524121423,41,32,1,"2023-05-24 12:14:23",4
20230525104235,21,8,1,"2023-05-25 10:42:35",3
20230526090132,38,8,1,"2023-05-26 09:01:32",4
20230527092304,39,66,3,"2023-05-27 09:23:04",3
20230528152203,23,45,3,"2023-05-28 15:22:03",3
20230529085914,31,79,1,"2023-05-29 08:59:14",3
20230530141015,44,65,2,"2023-05-30 14:10:15",1
20230531090427,45,27,3,"2023-05-31 09:04:27",3
20230601135524,37,3,2,"2023-06-01 13:55:24",1
20230602165607,30,57,1,"2023-06-02 16:56:07",2
20230603080928,32,10,2,"2023-06-03 08:09:28",1
20230604121603,45,78,2,"2023-06-04 12:16:03",1
20230606153442,21,55,2,"2023-06-06 15:34:42",1
20230607082024,43,54,3,"2023-06-07 08:20:24",4
20230608082747,38,44,1,"2023-06-08 08:27:47",3
20230609124014,44,78,2,"2023-06-09 12:40:14",3
20230610142847,30,57,1,"2023-06-10 14:28:47",2
20230611105402,42,55,2,"2023-06-11 10:54:02",1
20230612092140,46,81,2,"2023-06-12 09:21:40",4
20230613111256,20,96,3,"2023-06-13 11:12:56",2
20230614115905,32,53,1,"2023-06-14 11:59:05",1
20230615110452,36,42,1,"2023-06-15 11:04:52",2
20230616144919,31,97,2,"2023-06-16 14:49:19",4
20230617091037,37,21,2,"2023-06-17 09:10:37",2
20230619081635,26,50,2,"2023-06-19 08:16:35",4
20230620154928,45,86,1,"2023-06-20 15:49:28",4
20230621081800,26,78,3,"2023-06-21 08:18:00",3
20230622085539,36,38,2,"2023-06-22 08:55:39",4
20230623165149,40,7,1,"2023-06-23 16:51:49",1
20230624090512,30,22,2,"2023-06-24 09:05:12",1
20230625101421,43,64,1,"2023-06-25 10:14:21",1
20230626101455,35,64,3,"2023-06-26 10:14:55",2
20230627142906,29,46,1,"2023-06-27 14:29:06",1
20230629100705,25,12,1,"2023-06-29 10:07:05",3
20230630114627,31,48,2,"2023-06-30 11:46:27",1
20230701085510,22,12,1,"2023-07-01 08:55:10",1
20230703084052,22,3,1,"2023-07-03 08:40:52",3
20230704101119,36,9,3,"2023-07-04 10:11:19",3
20230705104825,24,99,1,"2023-07-05 10:48:25",1
20230706150307,23,56,3,"2023-07-06 15:03:07",2
20230707142729,34,12,1,"2023-07-07 14:27:29",4
20230708090056,39,23,2,"2023-07-08 09:00:56",2
20230709133020,32,46,1,"2023-07-09 13:30:20",4
20230710085712,29,24,1,"2023-07-10 08:57:12",4
20230711090132,33,40,2,"2023-07-11 09:01:32",1
20230712100440,22,36,2,"2023-07-12 10:04:40",4
20230713111653,33,55,1,"2023-07-13 11:16:53",4
20230714111007,21,55,3,"2023-07-14 11:10:07",1
20230715095745,25,71,2,"2023-07-15 09:57:45",1
20230716092852,26,52,1,"2023-07-16 09:28:52",3
20230717095235,45,7,1,"2023-07-17 09:52:35",3
20230718095332,40,82,2,"2023-07-18 09:53:32",1
20230719085240,32,44,3,"2023-07-19 08:52:40",3
20230720083913,26,47,3,"2023-07-20 08:39:13",1
20230722165308,23,55,1,"2023-07-22 16:53:08",4
20230723110619,37,37,2,"2023-07-23 11:06:19",1
20230724095022,33,57,3,"2023-07-24 09:50:22",2
20230725103649,35,9,1,"2023-07-25 10:36:49",3
20230726101959,27,45,3,"2023-07-26 10:19:59",2
20230727122620,42,29,2,"2023-07-27 12:26:20",4
20230728091306,23,9,2,"2023-07-28 09:13:06",3
20230729101655,39,12,2,"2023-07-29 10:16:55",2
20230730155039,23,98,1,"2023-07-30 15:50:39",1
20230731145746,26,40,1,"2023-07-31 14:57:46",1
20230801092906,26,54,3,"2023-08-01 09:29:06",4
20230802084728,30,98,3,"2023-08-02 08:47:28",4
20230803082351,44,35,3,"2023-08-03 08:23:51",2
20230804081504,21,65,3,"2023-08-04 08:15:04",3
20230805083423,45,76,2,"2023-08-05 08:34:23",4
20230806103330,41,47,1,"2023-08-06 10:33:30",1
20230807154957,26,93,3,"2023-08-07 15:49:57",2
20230808113204,42,66,2,"2023-08-08 11:32:04",2
20230810083928,44,17,1,"2023-08-10 08:39:28",3
20230811085146,29,8,1,"2023-08-11 08:51:46",2
20230812092037,24,6,1,"2023-08-12 09:20:37",1
20230813084348,22,17,3,"2023-08-13 08:43:48",4
20230814105019,41,62,2,"2023-08-14 10:50:19",1
20230815135815,33,56,3,"2023-08-15 13:58:15",2
20230816141832,27,13,1,"2023-08-16 14:18:32",1
20230817090340,36,98,3,"2023-08-17 09:03:40",1
20230818085320,35,19,2,"2023-08-18 08:53:20",4
20230819084942,20,95,3,"2023-08-19 08:49:42",1
20230820121227,31,42,2,"2023-08-20 12:12:27",2
20230821082602,30,89,3,"2023-08-21 08:26:02",2
20230822132342,20,8,1,"2023-08-22 13:23:42",1
20230823113617,22,33,3,"2023-08-23 11:36:17",1
20230824080755,39,75,2,"2023-08-24 08:07:55",1
20230825134330,35,97,1,"2023-08-25 13:43:30",2
20230826104905,37,69,3,"2023-08-26 10:49:05",4
20230827121117,45,57,1,"2023-08-27 12:11:17",2
20230828140218,27,2,3,"2023-08-28 14:02:18",3
20230829112926,30,95,2,"2023-08-29 11:29:26",4
20230830085705,38,66,3,"2023-08-30 08:57:05",1
20230831092715,24,85,2,"2023-08-31 09:27:15",3
20230901124414,32,82,3,"2023-09-01 12:44:14",1
20230902083100,42,55,3,"2023-09-02 08:31:00",3
20230903093633,46,17,1,"2023-09-03 09:36:33",1
20230904093315,27,40,3,"2023-09-04 09:33:15",3
20230905094958,27,71,3,"2023-09-05 09:49:58",4
20230906083348,23,11,3,"2023-09-06 08:33:48",1
20230907131653,21,49,1,"2023-09-07 13:16:53",1
20230908114334,35,15,3,"2023-09-08 11:43:34",2
20230909085407,29,9,2,"2023-09-09 08:54:07",2
20230910121439,45,67,3,"2023-09-10 12:14:39",4
20230912100021,21,14,1,"2023-09-12 10:00:21",2
20230913150043,39,25,1,"2023-09-13 15:00:43",1
20230914095933,37,31,1,"2023-09-14 09:59:33",3
20230915083445,42,32,2,"2023-09-15 08:34:45",3
20230916100600,23,28,2,"2023-09-16 10:06:00",4
20230917155306,42,45,3,"2023-09-17 15:53:06",3
20230918081052,22,10,2,"2023-09-18 08:10:52",2
20230919130759,25,26,1,"2023-09-19 13:07:59",4
20230920123759,22,33,3,"2023-09-20 12:37:59",2
20230921091036,32,99,2,"2023-09-21 09:10:36",1
20230922111119,35,3,3,"2023-09-22 11:11:19",4
20230922111120,43,43,1,"2023-09-23 11:56:01",3
20230924114050,44,53,2,"2023-09-24 11:40:50",3
20230925102003,36,100,3,"2023-09-25 10:20:03",2
20230926085404,20,25,2,"2023-09-26 08:54:04",1
20230927122133,39,18,1,"2023-09-27 12:21:33",4
20230928103729,30,78,2,"2023-09-28 10:37:29",3
20230929090346,23,63,3,"2023-09-29 09:03:46",2
20230930120601,26,7,1,"2023-09-30 12:06:01",3
20231001081816,30,25,1,"2023-10-01 08:18:16",2
