product_id,product_name,product_description,category,manufacture,product_type,amount,price
12,"ASUS G35DX-21202W","ASUS ROG STRIX GA35 AMD R9 5900X 32GB 1TB SSD + 1TB HDD RTX3080 LHR 750W GOLD WIN 11 HOME",Desktops,ASUS,Devices,18,2727.99
13,"ASUS G22CH-7720W","ASUS ROG G22CH - I7 13700KF 16GB 1TB SSD+512GB SSD RTX3070 WIN 11 HOME",Desktops,ASUS,Devices,39,2385.36
14,"ASUS G15CF-WB7822","ASUS ROG TRIX I7 12700F 16G RTX3080 512GB SSD + 1TB HDD 750W",Desktops,ASUS,Devices,43,2002.55
15,"ASUS G15CF-WB7636","ASUS ROG STRIX GT15 - I7 12700F 32GB 1TB SSD RTX3060TI 700W BLACK",Desktops,ASUS,Devices,11,1890.33
16,"ASUS G15CF-WB5720W","ASUS ROG STRIX I5 12400F 16G RTX3070 512GB SSD + 1TB HDD 700W WIN 11 HOME",Desktops,ASUS,Devices,41,1642.57
17,"ASUS G15DK-21302","ASUS AMD R5 5600X 16GB 1TB SSD RTX3070 LHR 750W",Desktops,ASUS,Devices,18,1439.78
18,"ASUS G15DK-WB7620","ASUS ROG STRIX AMD R7 5800X 16G RTX3060 512GB SSD + 1 TB HDD WI-FI 5; BT 4.2 500W",Desktops,ASUS,Devices,7,1336.49
19,"DELL VOSTRO 3668","DELL VOSTRO 3668 INTEL CORE I3-7100 4GB 500GB WIN10-PRO",Desktops,DELL,Devices,30,2395
20,"Dell OptiPlex 7060 SFF","Dell OptiPlex 7060 SFF  Intel Core i7-8700 8GB DDR4 2666MHz 1TB HDD Windows 10 Pro",Desktops,DELL,Devices,43,1405
21,"HP 285 MT G3","HP 285 MT G3 AMD RYZEN 3 2200G 4GB 500GB WIN10-PRO",Desktops,HP,Devices,37,2390
22,"LENOVO LEGION T7 34/90S2005YRM","LENOVO I9-12 64GB 3TB SSD RTX3080TI",Desktops,LENOVO,Devices,36,3960.89
23,"LENOVO LEGION T5 26/90RC01B5RM","LENOVO R9-5 32GB 1TB SSD RTX3070TI",Desktops,LENOVO,Devices,36,2160.34
24,"LENOVO V520 TWR","LENOVO V520 TWR INTEL CORE I7-7700 8GB 1TB WIN10-PRO",Desktops,LENOVO,Devices,23,1773
25,"LENOVO LEGION T5 26/90RC01B6RM","LENOVO R7-5 32GB 512SSD RTX3070",Desktops,LENOVO,Devices,50,1530.25
26,"ACER AN517-42-R8SQ NITRO 5","ACER NITRO 5 RYZEN 5 8GB RTX3050TI 512GB SSD 17.3 FHD 144HZ M2 COMBO BLACK KBLIGHT",NOTEBOOK,ACER,Devices,13,1034.86
27,"ACER AN515-57-74E6 NITRO 5","ACER NITRO 5 I7-11 8G RTX3060 512GB SSD 15.6 FHD 144HZ M2 COMBO BLACK KBLIGHT",NOTEBOOK,ACER,Devices,3,989.89
28,"ASUS G513RM-LN397","ASUS ROG STRIX - AMD R7 6800H 16GB 1TB_SSD RTX3060 15.6" WQHD 240HZ RGB KB GRAY",NOTEBOOK,ASUS,Devices,13,1512.09
29,"ASUS B5602CBN-OLED-UI74D0X","ASUS EXPERTBOOK B5 - I7 1260P 24GB 1TB_SSD ARC A350M 16" OLED WQUXGA GLOSSY WIN 11 PRO BLACK BACKL",NOTEBOOK,ASUS,Devices,29,1503.07
30,"DELL XPS15 (9560)","XPS15  (9560) 7th Generation Intel(R) Core(TM) i7-7700HQ 15.6Windows 10  32GB 1TB SSD",NOTEBOOK,DELL,Devices,18,1435
31,"Dell Vostro 5471","Dell Vostro 5471 i7-8550U, 8GB 2400MHz DDR4, 256GB M.2 SSD, 14.0Windows 10 , Windows 10 Professional",NOTEBOOK,DELL,Devices,2,905
32,"HP pavilion","HP pavilion i5-8500 8GB 2666MHz DDR4 256GB HDD Windows 10 Pro",NOTEBOOK,HP,Devices,38,1712
33,HP-Compaq,"HP-Compaq INTEL CORE I3-7100 4GB 500GB WIN10-PRO",NOTEBOOK,HP,Devices,2,1645
34,"LENOVO CREATOR 5 / 82L6000EBM","LENOVO R9 32G RTX3050 1TB SSD 16 FHD IPS GRAY KBLIGHT",NOTEBOOK,LENOVO,Devices,46,1439.96
35,"LENOVO YOGA 7 14 / 82QF003QBM","LENOVO R7-6 32G INT 1TB SSD 14" 2.8K OLED IPS GL WIN11 HOME GRAY TOUCH",NOTEBOOK,LENOVO,Devices,19,1439.82
36,"MSI SUMMIT E14 FLIP A12MT 093","MSI I7-12 16G INT 1TB SSD 14 QWXGA+ WIN11 HOME M2 PCIE BLACK THIN BACKLIT TOUCH",NOTEBOOK,MSI,Devices,22,1305.01
37,"MSI KATANA 17 B12VFK-204BG","MSI I7-12 16G RTX4060 512GB SSD 17.3 FHD 144HZ M2 PCIE BLACK BACKLIT",NOTEBOOK,MSI,Devices,26,1285.05
38,"ACER 34 CB342CKCSMIIPHUZX","ACER 34 UW-QHD <100Hz IPS 1ms 21:9 HDMI DP USB FREESYNC AUDIO HDR",MONITOR,ACER,Devices,49,427.12
39,"ASUS 23.8 PROART PA248Q","ASUS 24 WUXGA <100Hz IPS 6ms 16:10 HDMI DVI DP D-SUB USB FFREE PIP PIVOT SWIVEL",MONITOR,ASUS,Devices,11,398.27
40,"ASUS 31.5 TUF GAMING VG32VQ1BR","ASUS 31.5 FHD 165Hz 1ms 16:9 HDMI DP CURVED",MONITOR,ASUS,Devices,44,343.34
41,"27 GB G27Q-EK","GIGABYTE 27 QHD 144Hz IPS 1ms 16:9 HDMI DP USB AUDIO FFREE HDR",MONITOR,GIGABYTE,Devices,25,341
42,"34 LENOVO G34W-10","LENOVO 34 UW-QHD 144Hz VA 1ms 21:9 HDMI DP FREESYNC FFREE",MONITOR,LENOVO,Devices,26,400.17
43,"27 LG 27UP850-W","LG 27 UHD 4K <100 Hz IPS 5ms 16:9 HDMI DP USB-C FREESYNC AUDIO FSAFE HDR PIVOT",MONITOR,LG,Devices,32,434.19
44,"MSI 32 OPTIX MAG322CQR","MSI 31.5 WQHD 165Hz VA 1ms 16:9 HDMI DP USB-C FREESYNC FFREE CURVED",MONITOR,MSI,Devices,27,356.62
45,"MSI 32 OPTIX G32CQ4 VA CURVED","MSI 31.5 WQHD 165Hz VA 1ms 16:9 HDMI DP FREESYNC FFREE CURVED",MONITOR,MSI,Devices,39,338.58
46,"NOKIA 43 SMART TV 4300A 4K","NOKIA 43 UHD 4K HDMI D-SUB USB AUDIO HDR ANDROID TV",MONITOR,NOKIA,Devices,41,422.57
47,"NOKIA 43 SMART TV 4300B FHD","NOKIA 43 FHD HDMI D-SUB USB AUDIO HDR ANDROIDTV",MONITOR,NOKIA,Devices,41,350.64
48,"A4 B318 BLOODY LIGHT STRIKE BK","A4TECH WIRED BG KBLIGHT",KEYBOARD,A4,Devices,33,29.78
49,"A4 B500N BLOODY GRAY","A4TECH WIRED BG KBLIGHT",KEYBOARD,A4,Devices,9,29.7
50,"ASUS W5000 WL KB+MOUSE WHITE","ASUS WL COMBO",KEYBOARD,ASUS,Devices,27,37.79
51,"CM DEVASTATOR II BLU LED DESKT","COOLER MASTER WIRED COMBO KBLIGHT",KEYBOARD,COOLERMASTER,Devices,38,28.98
52,"LENOVO WL DESKTOP 510 BLACK","LENOVO WL COMBO",KEYBOARD,LENOVO,Devices,44,33.11
53,"LENOVO LEGIOIN K300 RGB","LENOVO WIRED RGB",KEYBOARD,LENOVO,Devices,26,32.44
54,"LOGITECH MK330 WL DESKTOP BK","LOGITECH WL BG COMBO",KEYBOARD,LOGITECH,Devices,34,43.04
55,"MS ALL IN ONE MEDIA KB","MICROSOFT WL",KEYBOARD,MICROSOFT,Devices,22,39.42
56,"MS WIRELESS DESKTOP 850 AES","MICROSOFT WL COMBO",KEYBOARD,MICROSOFT,Devices,40,35.3
57,"OMEGA KB-805 MECH USB GAMING","OMEGA WIRED BG",KEYBOARD,OMEGA,Devices,11,44.35
58,"A4 V7M BLOODY GAMING BLACK","A4TECH WIRED OPTICAL BLACK GAMING",MOUSE,A4,Devices,9,16
59,"A4 X-705K 3-FIRE GAME OPT USB","A4TECH WIRED OPTICAL BLACK GAMING",MOUSE,A4,Devices,11,13.5
60,"ACER AMR514 RF2.4 WL OPTICAL","ACER WL OPTICAL BLACK",MOUSE,ACER,Devices,17,14.53
61,"ACER PREDATOR GAME PAD 711","ACER MOUSE PAD GAMING",MOUSE,ACER,Devices,45,12.89
62,"ASUS NC05 TUF GAMING P3 PAD","ASUS MOUSE PAD GAMING",MOUSE,ASUS,Devices,3,12.8
63,"LOGITECH M185 WL / RED","LOGITECH WL OPTICAL RED",MOUSE,LOGITECH,Devices,16,13.88
64,"LOGITECH M105 /USB/BLACK","LOGITECH WIRED OPTICAL BLACK",MOUSE,LOGITECH,Devices,18,12.86
65,"MS WL MOBILE MOUSE 1850 BLACK","MICROSOFT WL OPTICAL BLACK",MOUSE,MICROSOFT,Devices,5,14.1
66,"MSI GAMING CLUTCH GM08","MSI WIRED OPTICAL BLACK GAMING",MOUSE,MSI,Devices,37,14.9
67,"OMEGA CMM293RD /7D /BLACK-RED","OMEGA WIRED OPTICAL RED GAMING",MOUSE,OMEGA,Devices,11,13.05
68,"CANON MF-461DW AIO LASER","CANON LASER AIO MONO 36PPM 80K DUPLEX LAN WIFI",PRINTER,CANON,Devices,30,325.32
69,"CANON MF-463DW AIO LASER","CANON LASER AIO MONO 40PPM 80K DUPLEX LAN WIFI",PRINTER,CANON,Devices,41,340.11
70,"CANON MF-752CDW AIO CLR LASER","CANON LASER AIO COLOR 33PPM 30K LAN CLOUD ADF",PRINTER,CANON,Devices,4,389.63
71,"A4 PK-930HA 1080P","A4TECH WEBCAM FHD USB2.0 MIC AUTOFOCUS","WEB CAMERA",A4,Devices,16,34.5
72,"LENOVO 300 FHD W/MIC","LENOVO WEBCAM FHD USB2.0 MIC","WEB CAMERA",LENOVO,Devices,45,31.1
73,"LOGITECH HD PRO WEBCAM C920","LOGITECH WEBCAM FHD USB2.0 MIC","WEB CAMERA",LOGITECH,Devices,4,80.82
74,"REP EXT CAMERA CASE TH-500","REPOTEC ACCESSORIES EXTERNAL CAMERA CASE","WEB CAMERA",REPOTEC,Devices,42,6
75,"TENDA K4W-3TC 4CH WL HD VIDEO","TENDA WIFI HD 4PCS USB2.0 MIC IP66","WEB CAMERA",TENDA,Devices,3,156.68
76,"ASROCK B650 PG LIGHTNING /AM5","ASROCK B650 4xDDR5 4xSATA3 RAID HDMI DVI 2xM2 GLAN 2xPCIEx16 2xPCIEx1","MAIN BOARD",ASROCK,Hardware,22,200.5
77,"ASROCK B550 PHANTOM GAM-ITX/AX","ASROCK B550 2xDDR4 4xSATA3 RAID HDMI DP 2xM2 GLAN 1xPCIEx16 WiFi","MAIN BOARD",ASROCK,Hardware,32,185
78,"ASUS ROG STRIX B560-A GAMIN WF","ASUS B560 4xDDR4 6xSATA3 HDMI DP 2xM2 GLAN 2xPCIEx16 3xPCIEx1 WiFi","MAIN BOARD",ASUS,Hardware,25,203
79,"ASUS ROG STRIX B560-G GAMIN WF","ASUS B560 4xDDR4 6xSATA3 HDMI DP 2xM2 GLAN 2xPCIEx16 2xPCIEx1 WiFi","MAIN BOARD",ASUS,Hardware,41,195
80,"GB Z690 UD /LGA1700","GB Z690 4xDDR5 6xSATA3 RAID HDMI DP 3xM2 GLAN 3xPCIEx16 3xPCIEx1 WiFI","MAIN BOARD",GIGABYTE,Hardware,7,196
81,"GB B550 AORUS PRO AC /AM4","GB B550 4xDDR4 6xSATA3 RAID HDMI 2xM2 GLAN 3xPCIEx16 2xPCIEx1","MAIN BOARD",GIGABYTE,Hardware,23,187
82,"MSI MAG Z490 TOMAHAWK /LGA1200","MSI Z490 4xDDR4 6xSATA3 RAID HDMI DP 3xM2 GLAN 2xPCIEx16 2xPCIEx1","MAIN BOARD",MSI,Hardware,42,207.4
83,"MSI PRO Z690-A DDR4 /LGA1700","MSI Z690 4xDDR4 6xSATA3 RAID HDMI DP 4xM2 1XGLAN 3xPCIEx16 1xPCIEx1","MAIN BOARD",MSI,Hardware,4,204
84,"AMD RYZEN 5 2400G","AMD RYZEN 5 2400G 3.9 GHZ CPU 4 CORE 8 THREAD 6 MB CACHE SKT AM4 WITH RX VEGA GRAPHICS",CPUs,AMD,Hardware,48,111
85,"THREADRIPPER 2920X","AMD RYZEN THREADRIPPER 2920X 4.3 GHZ CPU 12 CORE 24 THREAD 38 MB CACHE SKT TR4",CPUs,AMD,Hardware,39,134
86,"THREADRIPPER 2970X","AMD RYZEN THREADRIPPER 2970X 4.2 GHZ CPU 24 CORE 48 THREAD 76 MB CACHE SKT TR4",CPUs,AMD,Hardware,38,134
87,"Intel Core i5 9600K","Intel Core i5 9600K 3.70 GHZ, Turbo   4.6GHZ, 6 Core, 6 Thread, 9MB Smartcache, 95W TDP",CPUs,INTEL,Hardware,17,89
88,"Intel Core i7 9700K","Intel Core i7 9700K 3.60 GHZ, Turbo   4.9GHZ, 8 Core, 8 Thread, 12MB Smartcache, 95W TDP",CPUs,INTEL,Hardware,47,80
89,"Intel Core i9 9900K","Intel Core i9 9900K 3.60 GHZ, Turbo   5.0GHZ, 8 Core, 16 Thread, 16MB Smartcache, 95W TDP",CPUs,INTEL,Hardware,35,136
90,"GW RTX3080TI PHANTOM 12G","GAINWARD NVIDIA RTX3080TI HDMI DP 384B 12GB ACTIVE","VIDEO CARD",GAINWARD,Hardware,27,1232
91,"GB N3090GAMING OC-24GD","GB NVIDIA RTX3090 HDMI DP 384B 24GB ACTIVE","VIDEO CARD",GIGABYTE,Hardware,47,1325
92,"GB N308TGAMING OC-12GD","GB NVIDIA RTX3080TI HDMI DP 384B 12GB ACTIVE","VIDEO CARD",GIGABYTE,Hardware,43,1137
93,"GB R69XTGAMING OC-16GD","GB AMD RX6900XT HDMI DP 256B 16GB ACTIVE","VIDEO CARD",GIGABYTE,Hardware,38,1130
94,"GB R695XTGAMING OC-16GD","GIGABYTE AMD RX6950XT HDMI DP 256B 16GB ACTIVE","VIDEO CARD",GIGABYTE,Hardware,26,1047
95,"MSI RTX3080 VENT3X PLUS 12 OC","MSI NVIDIA RTX3080 HDMI DP 384B 12GB ACTIVE","VIDEO CARD",MSI,Hardware,13,1242
96,"MSI RTX3080TI VENTUS 3X 12G OC","MSI NVIDIA RTX3080TI HDMI DP 384B 12GB ACTIVE","VIDEO CARD",MSI,Hardware,14,1178
97,"MSI RX6950XT GAMING X TRIO 16G","MSI AMD RX6950XT HDMI DP 256B 16GB ACTIVE","VIDEO CARD",MSI,Hardware,9,1085
98,"PALIT RTX3090TI GAMEROCK 24G","PALIT NVIDIA RTX3090TI HDMI DP 384B 24GB ACTIVE","VIDEO CARD",PALIT,Hardware,6,1255
99,"PALIT RTX3080TI GAMEROCK 12G","PALIT NVIDIA RTX3080TI HDMI DP 384B 12GB ACTIVE","VIDEO CARD",PALIT,Hardware,40,1059
100,"4G DDR4 2666 ADATA","ADATA DESKTOP 4GB DDR4 2666MHZ",RAM,ADATA,Hardware,48,10.6
101,"8G DDR4 3200 ADATA","ADATA DESKTOP 8GB DDR4 3200MHZ",RAM,ADATA,Hardware,35,17.1
102,"8GB DDR5 5200 ADATA HUNTER","ADATA DESKTOP 8GB DDR5 5200MHZ HEAT SINK",RAM,ADATA,Hardware,16,27.6
103,"16G DDR4 2666 ADATA","ADATA DESKTOP 16GB DDR4 2666MHZ",RAM,ADATA,Hardware,20,29.1
104,"4G DDR4 3200 KINGST FURY BEAST","KINGSTON DESKTOP 4GB DDR4 3200MHZ HEAT SINK",RAM,KINGSTON,Hardware,6,18.8
105,"8G DDR4 2666 KINGSTON","KINGSTON DESKTOP 8GB DDR4 2666MHZ",RAM,KINGSTON,Hardware,41,18.7
106,"8GB DDR5 4800 KINGSTON","KINGSTON DESKTOP 8GB DDR5 4800MHZ",RAM,KINGSTON,Hardware,31,30.8
107,"4G DDR3 1600 TEAM ELITE","TEAM GROUP 4GB DDR3 1600MHZ",RAM,TEAM,Hardware,7,19.9
108,"8GB DDR3 1600 TEAM ELITE","TEAM GROUP 8GB DDR3 1600MHZ",RAM,TEAM,Hardware,31,20.4
109,"16G DDR4 3200 TEAM ELITE","TEAM GROUP DESKTOP 16GB DDR4 3200MHZ",RAM,TEAM,Hardware,35,29.2
110,"Antec C40","Antec C40 92mm CPU Cooler","CPU Cooler",ANTEC,Hardware,1,10
111,"NEPTON 280L","COOLERMASTER NEPTON 280L LIQUID CPU COOLER 280MM RADIATOR","CPU Cooler",COOLERMASTER,Hardware,50,31
112,"INTEL AIR","INTEL AIR COOLING SOLUTION FOR INTEL LGA 2011 V3","CPU Cooler",INTEL,Hardware,4,24
113,"CPU COOLER FOR INTEL I5 /1151","INTEL AIR CPU ACTIVE FAN 92MM LGA 1156 1155 1151 1150","CPU Cooler",INTEL,Hardware,35,9.6
114,"XEON 26XX BXSTS200PNRW TRM SOL","INTEL AIR CPU PASSIVE","CPU Cooler",INTEL,Hardware,34,6
115,"BITFENIX SPECTRE ADDR RGB 12CM","BITFENIX AIR CASE FAN 120MM RGB","CASE fan",BITFENIX,Hardware,36,10.25
116,"BITFENIX SPECTRE RGB 12CM","BITFENIX AIR CASE FAN 120MM RGB","CASE fan",BITFENIX,Hardware,23,9.09
117,"CM 20CM CASE FAN/SILENT BLUE","COOLER MASTER AIR CASE FAN 200MM BLUE","CASE fan",COOLERMASTER,Hardware,13,13.4
118,"CM MASTERFAN MF140R ARGB","COOLER MASTER AIR CASE FAN 140MM RGB","CASE fan",COOLERMASTER,Hardware,27,12.9
119,"CM MF120R ARGB 120MM","COOLER MASTER AIR CASE FAN 120MM RGB","CASE fan",COOLERMASTER,Hardware,10,12.8
120,"CM 20CM CASE FAN/SILENT RED","COOLER MASTER AIR CASE FAN 200MM RED","CASE fan",COOLERMASTER,Hardware,29,12.8
